timestamp,icao24,callsign,latitude,longitude,baro_altitude,true_track,velocity,vertical_rate,squawk,geo_altitude,on_ground,last_contact,spi,position_source
2025-07-18T18:04:23.004597,a4d7e4,,39.2837,-105.7352,10058.4,133.76,252.88,0,,,False,1752883455,False,0
2025-07-18T18:04:23.004597,a47332,N386SP  ,40.0386,-105.1517,2125.98,39.72,43.47,3.58,,2209.8,False,1752883458,False,0
2025-07-18T18:04:23.004597,a6ae97,,39.7793,-105.2197,2209.8,178.47,57.64,-1.3,,2293.62,False,1752883281,False,0
2025-07-18T18:04:23.004597,a1272d,,38.4206,-106.4312,10668,94,258.36,0,,11315.7,False,1752883183,False,0
2025-07-18T18:04:23.004597,a2248e,N237X   ,39.9616,-104.9991,13106.4,262.92,229.65,0,,13716,False,1752883294,False,0
2025-07-18T18:04:23.004597,c07f02,WJA1572 ,38.2013,-104.2155,11887.2,158.08,230.13,0,,12580.62,False,1752883458,False,0
2025-07-18T18:04:23.004597,a76f87,UAL688  ,37.4313,-108.7665,10393.68,68.99,268.37,4.23,,11308.08,False,1752883458,False,0
2025-07-18T18:04:23.004597,a5e6c3,N48FF   ,40.1636,-105.0967,2072.64,46.79,46.58,2.93,,2141.22,False,1752883458,False,0
2025-07-18T18:04:23.004597,a1afcf,,40.0069,-106.35,7901.94,273.56,174.22,4.55,,8343.9,False,1752883458,False,0
2025-07-18T18:04:23.004597,a80d95,N618MM  ,39.7501,-104.1108,2400.3,237.48,84.2,-1.3,,2506.98,False,1752883151,False,0
2025-07-18T18:04:23.004597,a43e5e,,39.2062,-106.7564,11285.22,66.17,255.89,0.33,,11940.54,False,1752883458,False,0
2025-07-18T18:04:23.004597,aaaa64,,38.2384,-108.5871,11887.2,63.76,245.48,0,,12550.14,False,1752883458,False,0
2025-07-18T18:04:23.004597,ae4ed7,,38.6937,-104.7569,1973.58,175.5,45.93,-3.9,,1897.38,False,1752883458,False,0
2025-07-18T18:04:23.004597,a6bf31,,39.3752,-104.7572,2346.96,171.06,46.35,0.33,,2461.26,False,1752883444,False,0
2025-07-18T18:04:23.004597,a351c1,,40.4854,-104.5087,1897.38,126.64,77.58,2.93,,1958.34,False,1752883458,False,0
2025-07-18T18:04:23.004597,a67ef1,N5178S  ,40.0898,-104.7357,1981.2,102.06,54.18,-0.65,,1988.82,False,1752883458,False,0
2025-07-18T18:04:23.004597,a13624,,38.6038,-104.3699,2560.32,16.13,44.45,-0.33,,,False,1752883455,False,0
